juego,Action,Casual,Indie,Simulation,Strategy,FreetoPlay,RPG,Sports,Adventure,Racing,EarlyAccess,MassivelyMultiplayer,AnimationModeling,WebPublishing,Education,SoftwareTraining,Utilities,DesignIllustration,AudioProduction,VideoProduction,PhotoEditing
1630,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
759920,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
603280,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
753110,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
753100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764280,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2420,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4230,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4900,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2520,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6210,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6300,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2990,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6220,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6510,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3980,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6310,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3990,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7610,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7600,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7620,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7650,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6550,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8200,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8210,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2270,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9040,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3810,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9030,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3230,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9310,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7670,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4570,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4580,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4760,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4770,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50970,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12160,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17480,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12310,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12510,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12530,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12520,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2780,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9710,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9800,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9760,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2700,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2710,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13560,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13520,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13540,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15210,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16180,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3520,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15970,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15950,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15910,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15930,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15160,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15920,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15080,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15200,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15240,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8310,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12600,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8320,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12590,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12560,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12540,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11050,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11040,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19500,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11260,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19200,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12360,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15710,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15700,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8660,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7770,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7660,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7760,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20510,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7730,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20900,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1530,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8690,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17120,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16810,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19830,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4460,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17140,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15390,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21300,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3050,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15380,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15370,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19930,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15350,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19810,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3540,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2820,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18300,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12200,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11240,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256522,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275144,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256521,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222569,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256535,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256611,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256576,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9480,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17470,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12770,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17410,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18500,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16450,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15400,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18600,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11340,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25830,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23460,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10600,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22180,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12640,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27020,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24740,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11330,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27800,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9850,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29580,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29540,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29560,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29570,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23700,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16060,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18470,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7510,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22200,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25900,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16200,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7840,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8890,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8880,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34500,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1280,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10150,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29160,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12470,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22330,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22320,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12440,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32710,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32740,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12460,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21980,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31860,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31900,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31920,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31930,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35800,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31170,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21660,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6080,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6090,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6060,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32310,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32330,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32360,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35310,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31980,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10110,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10120,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33520,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3610,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21680,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21670,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21030,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32370,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29180,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38410,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38420,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38430,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31180,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37400,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13570,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34420,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37600,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24029,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32140,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31190,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32770,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208306,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35070,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10606,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40700,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24870,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24800,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901735,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42800,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39560,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39550,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40330,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40320,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39540,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34640,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34630,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40340,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17450,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37100,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37500,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42810,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10180,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32440,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11450,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12710,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24790,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
